"state","sex","year","total","daily"
"Idaho","Males",2002,24.19,18.59
"Idaho","Females",2002,21.08,16.56
"Idaho","Both",2002,22.61,17.56
"Idaho","Males",2003,23.98,18.43
"Idaho","Females",2003,20.55,16.1
"Idaho","Both",2003,22.23,17.24
"Idaho","Males",2004,23.71,18.29
"Idaho","Females",2004,19.89,15.57
"Idaho","Both",2004,21.77,16.9
"Idaho","Males",2005,23.48,18.11
"Idaho","Females",2005,19.79,15.39
"Idaho","Both",2005,21.6,16.72
"Idaho","Males",2006,23.35,17.78
"Idaho","Females",2006,19.35,14.89
"Idaho","Both",2006,21.32,16.31
"Idaho","Males",2007,23.3,17.71
"Idaho","Females",2007,19.15,14.71
"Idaho","Both",2007,21.19,16.18
"Idaho","Males",2008,22.92,17.48
"Idaho","Females",2008,18.54,14.15
"Idaho","Both",2008,20.69,15.78
"Idaho","Males",2009,22.57,16.92
"Idaho","Females",2009,18.37,14.02
"Idaho","Both",2009,20.43,15.44
"Idaho","Males",2010,22.17,16.36
"Idaho","Females",2010,17.98,13.56
"Idaho","Both",2010,20.04,14.93
"Idaho","Males",2011,22.14,16.28
"Idaho","Females",2011,18.51,14.22
"Idaho","Both",2011,20.29,15.23
"Idaho","Males",2012,21.39,15.49
"Idaho","Females",2012,17.99,13.65
"Idaho","Both",2012,19.66,14.55
"Illinois","Males",1996,27.54,22.23
"Illinois","Females",1996,22.52,18.19
"Illinois","Both",1996,24.99,20.18
"Illinois","Males",1997,27.28,21.61
"Illinois","Females",1997,22.33,17.83
"Illinois","Both",1997,24.76,19.69
"Illinois","Males",1998,27.21,21.2
"Illinois","Females",1998,22.28,17.55
"Illinois","Both",1998,24.7,19.35
"Illinois","Males",1999,26.97,20.35
"Illinois","Females",1999,22.01,17.02
"Illinois","Both",1999,24.45,18.65
"Illinois","Males",2000,27.05,20.2
"Illinois","Females",2000,21.84,16.89
"Illinois","Both",2000,24.4,18.52
"Illinois","Males",2001,27.57,20.58
"Illinois","Females",2001,21.95,16.9
"Illinois","Both",2001,24.71,18.71
"Illinois","Males",2002,28.3,20.51
"Illinois","Females",2002,22.11,16.81
"Illinois","Both",2002,25.15,18.62
"Illinois","Males",2003,27.27,19.6
"Illinois","Females",2003,21.3,16.06
"Illinois","Both",2003,24.23,17.8
"Illinois","Males",2004,27.41,19.78
"Illinois","Females",2004,21,15.78
"Illinois","Both",2004,24.15,17.74
"Illinois","Males",2005,27.1,19.1
